state_id	enrollment
310900030	479
050475050	36
234660050	583
234860050	350
314010020	673
415460050	630
270785010	324
215510030	274
172390082	561
011790060	232
253260010	789
273340010	271
172295030	1396
253160050	20
132730050	1800
807109931	939
372615050	540
233140050	1477
050840030	606
093130050	1572
050610030	679
035150050	64
193660060	53
271990050	130
035830050	984
391320402	835
090720030	430
051060005	1037
231290050	55
011310005	676
150870020	1357
273365050	394
133570057	1785
170220020	557
251650050	1278
375435060	226
130760050	793
273365020	1225
393560050	229
191050040	957
294190010	530
391320405	814
334630050	18
233150070	621
031760050	823
295190040	33
035410030	658
033710050	933
374960050	1026
411870050	355
194890050	736
014180050	944
312510050	1414
054050055	343
233150065	861
030290070	857
234130050	927
375360020	514
070800030	766
353320030	1549
395730050	381
075035050	42
314010307	1122
175580050	426
353670050	1052
155860050	788
215210050	298
275660030	845
392190050	1249
231140040	761
133570056	442
292940040	488
071900050	262
070390030	666
052610060	1160
130660050	96
394160050	178
133570304	83
414100050	1196
314010002	1423
134900030	1155
390850005	1534
133570030	1684
131390020	51
392660050	1244
313995050	124
390310005	372
807503970	968
255310050	32
253270050	464
095790050	1587
034405050	1231
233620040	691
212280030	346
012910050	410
290530025	68
235850050	1097
151715050	771
251650010	748
034300030	644
253510050	393
172390050	163
052610040	787
314230050	443
173610050	645
070700030	1081
032860050	933
390980030	1181
071880050	953
030440020	330
151100040	1326
253260004	356
031450050	1091
273370060	341
373590050	1668
034600050	137
272870050	923
415465050	72
314010035	1839
391320404	12
211430050	515
133570305	1245
070680040	436
415465050	62
034390050	959
394290050	610
172390060	1788
071255050	965
271990070	1217
375110010	420
055805053	36
172060050	1165
251650080	401
413675050	305
135370050	1051
211950055	421
010120010	909
274560050	94
233530050	302
395260050	271
315570055	352
035160050	174
032620050	576
052610070	837
215715025	1545
254365050	871
351610050	420
270450020	751
233150010	752
070680030	1362
133190050	641
233120050	1313
252105050	1081
354815020	1084
010110010	114
071890050	132
070680029	298
172390070	830
053010030	1303
030890030	693
273385050	1284
053690050	720
334640040	1368
053360040	1263
054450050	830
290185030	390
172295050	199
175670050	1440
231170050	479
054320050	1075
031700050	724
053920050	1690
010590025	403
031130040	1681
312100050	439
313990050	1753
212580040	777
314010025	938
032740050	440
172210005	1276
235850040	327
030290020	151
215715020	975
273950053	781
294210030	1210
152440050	175
133570080	104
411870050	342
354820050	1557
154140050	728
806212903	1564
253260028	811
234920050	277
133570070	1430
806033902	1388
071770050	1590
395290050	1178
290530020	1464
093780050	1281
314010305	619
251650070	639
806018900	560
234970040	924
395260020	387
234090050	166
295190050	691
273950050	1396
031370040	356
807320960	330
131390050	30
154940050	1585
252230020	347
035755050	334
074110010	20
253260025	169
395000010	1234
070680245	322
072670005	444
350555005	78
030300020	549
153280050	704
033930050	1689
350350050	84
033940050	842
070150010	607
032900050	1650
272460050	210
807410940	1351
395260035	612
253260020	1708
273460050	112
314010306	334
294220050	844
033960050	863
392420010	27
034610050	1315
314010003	1710
172390075	1212
292520050	1092
050620010	256
391320025	1137
031345050	623
315650040	866
174730050	278
211950050	1504
051520050	80
231290053	891
352170030	1260
070680305	136
135630050	16
315570050	467
807325965	723
293790055	589
354810070	906
133570045	1180
272380020	473
234830030	220
353000050	995
050600020	1230
131210035	970
293790045	206
150860030	432
233845040	125
273370050	427
133570010	1034
131750050	222
135680050	208
251650055	500
031360050	943
394670050	274
808060990	1091
233290005	262
133570020	541
274330050	602
313970050	859
410280020	635
350490020	901
172410050	1363
074060050	943
131210150	523
250100010	465
031550050	533
070700040	1320
372240030	587
391320401	589
251650060	130
233150060	794
355550050	1869
395260040	1233
032080050	1092
295190030	1068
806720930	400
334070050	188
030745050	994
334150040	477
133750050	752
394540010	1370
133570050	1710
034310050	971
154020050	1126
155500010	1593
033910050	160
254580050	1275
211245050	376
252770050	114
290770030	1460
253040050	12
132330050	860
133570087	876
192300050	1114
175240055	151
314010304	222
133570055	355
253160053	31
031860050	1083
233150040	818
806010910	978
270630020	1355
252400010	535
294950050	1259
274080050	1436
133570040	87
133310050	1677
292480020	277
273450010	977
391320403	1123
235850020	53
052610050	1274
252120050	21
214255050	880
050610040	496
215210030	1018
033600050	887
395090050	1284
033700050	272
092820050	535
372465050	1010
033960040	1152
254760050	898
034300050	30
230750030	1600
151730050	761
070390050	1026
292360025	49
271110040	521
151775010	1222
232150050	596
011960050	1184
414100050	1098
034380050	114
334075050	1553
394550050	1088
011790040	276
133880050	1003
252930050	314
155620050	1431
011790050	571
294105050	822
131390080	1169
035430050	743
410280020	574
255420050	1190
034370050	1098
335910050	842
193660050	1451
130410020	483
413675050	467
033550050	1135
275660050	635
070390020	946
070940030	1500
215210051	1510
292360020	527
252430050	1429
415460050	614
131390070	608
075820010	1167
395260030	1432
211950060	852
253810030	589
372165030	455
033710060	436
234910050	246
172390080	1543
030990040	439
070800040	1125
130250020	180
313980010	1654
033170050	215
